id	Base Model	Tokenizer	Language	Tag Set	Normalization	Preprocessing	Encoding	BLEU Score	SemScore
INTMT-4921	PhilTa	PhilTa	EN	BH	Preserved	Diacritics	emb-sum	60.09839121041982	0.8902743458747864
INTMT-4712	PhilTa	PhilTa	EN	BH	Preserved	Diacritics	emb-auto	60.40254910737792	0.8916792273521423
INTMT-4873	PhilTa	PhilTa	EN	OB	Preserved	Diacritics	emb-auto	59.66221030967164	0.891083300113678
INTMT-4793	PhilTa	PhilTa	EN	OB	Preserved	Diacritics	emb-sum	59.75320274052479	0.8898679614067078
INTMT-5030	mT5-large	mT5	PL	OB	Simplified	Normalized	emb-auto	59.331111484035006	0.935362994670868
INTMT-5006	mT5-large	mT5	PL	BH	Preserved	Diacritics	emb-auto	59.044279789098375	0.932859182357788
INTMT-5238	mT5-large	mT5	PL	OB	Simplified	Normalized	emb-sum	58.9230586528701	0.9357478618621826
INTMT-5086	mT5-large	mT5	PL	OB	Preserved	Diacritics	emb-sum	58.903823850686194	0.933052897453308
INTMT-5166	mT5-large	mT5	PL	OB	Preserved	Diacritics	emb-auto	58.4448751838188	0.9335306882858276
INTMT-5078	mT5-large	mT5	PL	BH	Simplified	Normalized	emb-sum	58.45597212015792	0.93150395154953
INTMT-5014	mT5-large	mT5	PL	BH	Simplified	Normalized	emb-auto	57.415577292538856	0.9290620684623718
INTMT-4785	PhilTa	PhilTa	EN	BH	Simplified	Normalized	emb-sum	56.23939909322726	0.8667371273040771
INTMT-4881	PhilTa	PhilTa	EN	OB	Simplified	Normalized	emb-auto	56.514163238233664	0.868135392665863
INTMT-4720	PhilTa	PhilTa	EN	BH	Simplified	Normalized	emb-auto	56.16245588153515	0.868868887424469
INTMT-5149	mT5-large	mT5	EN	BH	Preserved	Diacritics	emb-auto	56.51297187493724	0.8788841366767883
INTMT-5069	mT5-large	mT5	EN	BH	Preserved	Diacritics	emb-sum	56.02946728673448	0.875047504901886
INTMT-4801	PhilTa	PhilTa	EN	OB	Simplified	Normalized	emb-sum	55.486249945623626	0.8641964793205261
INTMT-4933	mT5-large	mT5	EN	BH	Simplified	Normalized	emb-sum	55.608074216297176	0.8763386011123657
INTMT-5165	mT5-large	mT5	EN	OB	Preserved	Diacritics	emb-auto	55.80698553928885	0.874487578868866
INTMT-4889	PhilTa	PhilTa	EN	BH	Preserved	Diacritics	emb-concat	55.927802591510606	0.874837338924408
INTMT-5093	mT5-large	mT5	EN	OB	Simplified	Normalized	emb-sum	56.23509186235167	0.8785069584846497
INTMT-4885	mT5-large	mT5	EN	OB	Simplified	Normalized	emb-auto	55.37217177846867	0.8713617324829102
INTMT-5070	mT5-large	mT5	PL	BH	Preserved	Diacritics	emb-sum	56.74963496952	0.926645576953888
INTMT-5046	mT5-large	mT5	PL	BH	Simplified	Normalized	emb-concat	54.53875054097298	0.9240017533302308
INTMT-4775	GreTa	GreTa	EN	BH	Preserved	Diacritics	emb-sum	55.2210990403741	0.8623849153518677
INTMT-4871	mT5-large	mT5	EN	BH	Simplified	Normalized	emb-auto	55.12005113556543	0.8696227669715881
INTMT-5054	mT5-large	mT5	PL	OB	Preserved	Diacritics	emb-concat	55.54644645379666	0.9254564642906188
INTMT-4940	mT5-base	mT5	PL	OB	Preserved	Diacritics	emb-sum	54.41436421524504	0.9251526594161988
INTMT-4710	GreTa	GreTa	EN	BH	Preserved	Diacritics	emb-auto	54.17952051929103	0.8563570380210876
INTMT-4726	GreTa	GreTa	EN	OB	Preserved	Diacritics	emb-auto	54.9830276748252	0.8569542169570923
INTMT-4791	GreTa	GreTa	EN	OB	Preserved	Diacritics	emb-sum	54.98388615443039	0.8538537621498108
INTMT-4868	mT5-base	mT5	PL	BH	Simplified	Normalized	emb-auto	54.47359318372936	0.9253180027008056
INTMT-4876	mT5-base	mT5	PL	OB	Preserved	Diacritics	emb-auto	53.86547196607554	0.9235265851020812
INTMT-4923	mT5-base	mT5	EN	BH	Preserved	Diacritics	emb-sum	52.33603120328348	0.8615550398826599
INTMT-4795	mT5-base	mT5	EN	OB	Preserved	Diacritics	emb-sum	51.90317315557134	0.8607084155082703
INTMT-4875	mT5-base	mT5	EN	OB	Preserved	Diacritics	emb-auto	52.365123354638015	0.8608331680297852
INTMT-4879	GreTa	GreTa	EN	OB	Simplified	Normalized	emb-auto	53.1532408320028	0.8509807586669922
